HandSpan,TootsieRolls
18,15
19,15
19,14
18,10
21,23
18,19
21.5,23
21.2,26
22,26
22,26
22.5,33
21.5,29
19.5,15
21,20.8
21,19
19.4,14
20,15
17.1,11
18,19
19,20
21.25,14
20.5,32
20.5,35
21.5,37
22,25
22,30
20.8,16
20.25,23
18,17
20,30
19,18
19.5,16
18.5,15
