Lot	Viscosity
Lot1	29.39
Lot1	31.51
Lot1	30.88
Lot1	27.63
Lot1	28.85
Lot2	30.63
Lot2	32.1
Lot2	30.11
Lot2	29.63
Lot2	29.68
Lot3	27.16
Lot3	26.63
Lot3	25.31
Lot3	27.66
Lot3	27.1
Lot4	31.03
Lot4	30.98
Lot4	28.95
Lot4	31.45
Lot4	29.7
Lot5	29.67
Lot5	29.32
Lot5	26.87
Lot5	31.59
Lot5	29.41
