HandSpan,TootsieRolls
17,19
18.5,21
20,19
18.2,21
22,23
19,15
24,41
21,29
19,29
19,28
27.5,28
21,23
18.1,22
17,18
20,29
18,20
21.5,39
21,27
16,14
17,18
19,40
20.5,29
18,20
20.7,26
24,22
20,18
19.5,26
17,24
20,28
21.5,23
23.2,42
24,30
25,34
25.4,31
26,29
